DEPTH,APLC,GR,PEF,RHOZ,RLA5,RXOZ,SAND/SHALE
2332.9392,0.1852,52.1335,2.0923,2.3872,4.0283,0.8524,1
2333.0916,0.1857,51.7805,2.0902,2.3829,3.36,0.7856,1
2333.244,0.192,46.7201,2.0615,2.3835,3.1458,0.6912,1
2333.3964,0.1783,47.6469,2.0561,2.3826,3.6004,0.7061,1
2333.5488,0.1692,46.7054,2.0759,2.3857,3.8374,0.7704,1
2333.7012,0.162,50.942,2.0989,2.3918,3.9936,0.8499,1
2333.8536,0.1556,46.9555,2.1236,2.3958,4.1139,0.7778,1
2334.006,0.1598,45.1534,2.1203,2.3947,3.6026,0.7763,1
2334.1584,0.1611,39.2693,2.1052,2.3886,3.0215,0.666,1
2334.3108,0.173,37.3864,2.0605,2.3905,2.6037,0.6042,1
2334.4632,0.1632,36.364,2.0627,2.3899,3.2753,0.6145,1
2334.6156,0.1782,38.2469,2.1053,2.3912,3.1779,0.6403,1
2337.054,0.164,89.5272,2.3409,2.4577,3.681,1.7702,1
2337.2064,0.1444,76.9352,2.3569,2.4216,3.6074,1.2509,1
2337.3588,0.1601,69.4035,2.3607,2.3914,4.2271,0.8447,1
2337.5112,0.1681,69.6683,2.3572,2.3768,3.6984,0.7382,1
2337.6636,0.1637,69.3152,2.3191,2.3705,3.4859,0.6986,1
2337.816,0.1595,69.3152,2.293,2.3846,3.5753,0.8739,1
2337.9684,0.1663,67.6676,2.2882,2.4204,3.5439,0.9895,1
